overall_alpha,beta,prop_sus,O_m,p1,p2,p3,p4,p5,rae,k_R,k_E,lam
0.0001399085222091,1.8005313404174337,0.4679309438832526,0.7913985887564737,0.2426059411684544,0.5724167654435951,0.5187320732391616,0.4532103731144274,0.1207358591334188,157.4019756900943,904471.5457628252,1.0640421575256305,0.0299191113142119
0.0001459430871464,1.8291674908610185,0.7579805906723871,1.1214250956455227,0.5047260181652129,0.7414913051452594,0.7772908273021932,0.3761181091055858,0.0812560980942891,198.37329873209205,245784.07365574397,1.1752736768349883,0.0258212468086669
0.0001402500872061,1.8203150855905483,0.5114889983038929,0.8230017829962678,0.0764745538027978,0.1557061839297119,0.1033605610396726,0.3829782396663174,0.1209073345683723,228.50434316553023,238698.57588552855,0.7712955967227227,0.0227806956091607
0.0001406966704269,1.8036834824032344,0.6015729068706618,0.196259847483781,0.8783594930240054,0.0587108229407423,0.6139197721275926,0.7743708427704084,0.0637030534202354,176.21771759931588,285993.05388729967,0.4113814671670696,0.050654683093256
0.0001243931954869,1.9255232897919008,0.7526623355522271,0.6633111527662078,0.5048791310187701,0.5652437648343033,0.456290980745793,0.6665397662330613,0.0205007732224699,247.0570504747938,463381.211862922,1.4216194787966967,0.0285288867966942
0.000132209394661,1.8361346907421905,0.5780124271146564,0.1152472562067667,0.6895923119521554,0.2198500009949051,0.3956239069299287,0.1958987632728357,0.0164004667756404,182.8441784406565,510892.1082107213,1.3256289964743428,0.0888352336965747
0.0001386244861375,1.8344248237759069,0.4428582853396052,0.2261028024089132,0.9177936983832748,0.2495926452857498,0.706922781295472,0.4251532840751318,0.4095004399634432,229.45447066741863,917518.3794494304,1.1165097935284132,0.0545640501242741
0.0001489466112615,1.7924213717191162,0.4799363799291979,1.5596216475693023,0.1372312960439514,0.4984523916760871,0.0874263271578215,0.2752693360134938,0.0416352116981281,177.36699040119834,278174.4693985508,0.4748718905155307,0.0124436327343487
0.0001434098017677,1.833017862519388,0.6057221519447696,0.9834273291015924,0.3937502398588734,0.0999535519865551,0.6571698258399368,0.0918145877031066,0.2224335852246794,202.61024882235347,303044.8946831706,0.2079230562876888,0.0156045379824473
0.0001374463608255,1.864309455294277,0.5711154583968892,0.1730638063372772,0.4355192880911742,0.2522094609740127,0.1953655623690782,0.956901437877188,0.1628698794269847,215.1789720947363,142761.02279304792,0.2333377915477522,0.0872071355623525
