overall_alpha,beta,prop_sus,O_m,p1,p2,p3,p4,p5,rae,k_R,k_E,lam
0.0001875068639287,2.417146671945153,0.7840800153783425,0.7958777402451347,0.602587717532655,0.742678172865483,0.4888325887714345,0.874366534117175,0.1192598421967188,162.5035141831833,797244.8651657214,1.1436812622543704,0.0685609844693252
0.0001954938415605,2.365247857661373,0.5193457424556073,1.6935696830905511,0.1786688123918745,0.4881646621238499,0.5867366767909432,0.6417139478442472,0.096514297356887,153.4109676261847,905110.4054738972,0.2144881832452208,0.0214452044499272
0.000184179997574,2.388188324166852,0.522668915144905,1.7484548200392265,0.1048953980992914,0.9043193835858464,0.5820504804688468,0.8814272803998077,0.1391099333581644,187.95155264388777,631079.1681653464,1.2648924577473089,0.0343034836348832
0.0001824732756246,2.3609235587386386,0.4982317508613605,0.6388514138677228,0.6536751426959478,0.8693711823055903,0.9759769956017016,0.6901705304270226,0.0635785611130756,154.86633701954457,850073.144721821,1.1649887467627338,0.0608938285092628
0.0002046274399316,2.3886866684121517,0.5766640323916258,0.7609159905699211,0.7505599933230714,0.027858036669154,0.3076208575811548,0.5337868888247557,0.0225387553788509,186.4554150561935,830947.965487968,1.2692054753453863,0.0388583348778344
0.0002050356789396,2.321139258300634,0.2582176649202566,2.109242480294212,0.8254623911661494,0.1437371147753967,0.6866950297883951,0.8945180093036691,0.0139362776714647,199.7857973310903,682893.4491269233,1.041401444787383,0.0252995796803137
0.0002202234447762,2.315740536595615,0.6935803812752516,2.242835133936352,0.3536560314470859,0.6420766148813847,0.7730346190250853,0.965988526619052,0.1359956733451504,165.09051038286958,551721.4833691858,1.4620940802546611,0.0293379719671012
0.0001952298946105,2.3597886638858894,0.4289005044967361,0.4833204701793623,0.8587619891502845,0.98758298319902,0.4057620372683741,0.4412227836510475,0.1584055205229423,166.67881056188756,754659.7210024961,0.5102630267730845,0.0993831762840542
0.00020454192198,2.346248889689282,0.7452548176655318,2.580029021314727,0.1447597554003003,0.7218485169090303,0.5525545032231589,0.9534042440623736,0.0275369301836597,230.21223357932155,291567.1476593699,1.4594218071689988,0.032109435346825
0.0001824130950541,2.4174802158653423,0.41039897897886,1.4519990667871572,0.976394162605693,0.8209611400278152,0.2080901318693198,0.5314244155984653,0.0976514426050535,215.74219235130295,965861.674824485,1.447485592677911,0.0360738732720512
